Year,Winner
2023,Barcelona
2022,Real Madrid
2021,Atletico de Madrid
2020,Real Madrid
2019,Barcelona
2018,Barcelona
2017,Real Madrid
2016,Barcelona
2015,Barcelona
2014,Atletico de Madrid
2013,FC Barcelona
2012,Real Madrid
2011,FC Barcelona
2010,FC Barcelona
2009,FC Barcelona
2008,Real Madrid
2007,Real Madrid
2006,FC Barcelona
2005,FC Barcelona
2004,Valencia CF
2003,Real Madrid
2002,Valencia CF
2001,Real Madrid
2000,Deportivo de La Coruna
1999,FC Barcelona
1998,FC Barcelona
1997,Real Madrid
1996,Atletico de Madrid
1995,Real Madrid
1994,FC Barcelona
1993,FC Barcelona
1992,FC Barcelona
1991,FC Barcelona
1990,Real Madrid
1989,Real Madrid
1988,Real Madrid
1987,Real Madrid
1986,Real Madrid
1985,FC Barcelona
1984,Athletic de Bilbao
1983,Athletic de Bilbao
1982,Real Sociedad
1981,Real Sociedad
1980,Real Madrid
1979,Real Madrid
1978,Real Madrid
1977,Atletico de Madrid
1976,Real Madrid
1975,Real Madrid
1974,FC Barcelona
1973,Atletico de Madrid
1972,Real Madrid
1971,Valencia CF
1970,Atletico de Madrid
1969,Real Madrid
1968,Real Madrid
1967,Real Madrid
1966,Atletico de Madrid
1965,Real Madrid
1964,Real Madrid
1963,Real Madrid
1962,Real Madrid
1961,Real Madrid
1960,FC Barcelona
1959,FC Barcelona
1958,Real Madrid
1957,Real Madrid
1956,Athletic de Bilbao
1955,Real Madrid
1954,Real Madrid
1953,FC Barcelona
1952,FC Barcelona
1951,Atletico de Madrid
1950,Atletico de Madrid
1949,FC Barcelona
1948,FC Barcelona
1947,Valencia CF
1946,Sevilla FC
1945,FC Barcelona
1944,Valencia CF
1943,Athletic de Bilbao
1942,Valencia CF
1941,Atletico Aviacion
1940,Atletico Aviacion
1939,"No football league, civil war"
1938,"No football league, civil war"
1937,"No football league, civil war"
1936,Athletic de Bilbao
1935,Real Betis
1934,Athletic de Bilbao
1933,Real Madrid
1932,Real Madrid
1931,Athletic de Bilbao
1930,Athletic Bilbao
1929,FC Barcelona
